NUMRESERVA,IDESTADIA,IDSERVICIO,IDHORARIO,IDCONSUMO,IDCONVENCION,CAPACIDAD
6,91401,13,36,,,4
7,91402,17,37,,,4
8,91403,14,38,,,4
9,91404,5,39,,,2
10,91405,5,40,,,4
11,91406,20,41,,,4
12,91407,18,42,,,3
13,91408,5,43,15,,4
14,91409,6,44,,,4
15,91410,6,45,,,4
16,91411,4,46,,,2
17,91412,22,47,,,2
18,91413,6,48,,,4
19,91414,6,49,,,2
20,91415,17,50,,,1
21,91416,18,51,,,1
22,91417,12,52,,,3
23,91418,11,53,,,4
24,91419,13,54,,,1
25,91420,22,55,,,3
26,91421,4,56,,,2
27,91422,18,57,,,3
28,91423,22,58,,,2
29,91424,4,59,,,4
30,91425,8,60,,,4
31,91426,8,61,,,3
32,91427,17,62,,,3
33,91428,15,63,,,1
34,91429,4,64,,,4
35,91430,22,65,,,3
36,91431,13,66,,,4
37,91432,20,67,,,2
38,91433,22,68,,,1
39,91434,6,69,,,1
40,91435,8,70,16,,2
41,91436,8,71,,,3
42,91437,11,72,,,1
43,91438,14,73,,,4
44,91439,20,74,,,3
45,91440,17,75,,,4
46,91441,12,76,,,3
47,91442,11,77,,,3
48,91443,15,78,,,3
49,91444,8,79,,,4
50,91445,20,80,,,3
51,91446,5,81,,,1
52,91447,4,82,,,1
53,91448,6,83,,,2
54,91449,15,84,,,3
55,91450,22,85,,,2
56,91451,13,86,,,4
57,91452,4,87,14,,3
58,91453,4,88,,,2
59,91454,15,89,,,2
60,91455,17,90,,,1
61,91456,11,91,,,2
62,91457,11,92,,,3
63,91458,8,93,,,3
64,91459,20,94,,,4
65,91460,18,95,,,4
66,91461,20,96,,,4
67,91462,14,97,,,2
68,91463,11,98,,,4
69,91464,13,99,,,1
70,91465,13,100,,,1
71,91466,13,101,,,1
72,91467,13,102,16,,1
73,91468,8,103,,,2
74,91469,11,104,,,1
75,91470,17,105,16,,3
76,91471,4,106,,,2
77,91472,12,107,16,,1
78,91473,12,108,,,3
79,91474,12,109,,,2
80,91475,18,110,,,4
81,91476,11,111,,,3
82,91477,13,112,,,1
83,91478,15,113,,,1
84,91479,4,114,,,4
