IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,CHECKIN,PAGADO,IDCLIENTE,IDCONVENCION
76042,05/01/2018,07/01/2018,4,216,244,1,1,1000000000,
76043,16/10/2018,27/10/2018,4,232,295,1,1,1000000001,
76044,10/09/2018,16/09/2018,3,207,25,1,1,1000000002,
76045,28/09/2018,29/09/2018,2,226,57,1,1,1000000003,
76046,14/05/2018,21/05/2018,3,275,260,1,1,1000000004,
76047,24/04/2018,07/05/2018,4,264,92,1,1,1000000005,
76048,26/08/2018,10/09/2018,4,207,120,1,1,1000000006,
76049,03/03/2018,09/03/2018,2,277,236,1,1,1000000007,
76050,12/07/2018,20/07/2018,4,298,16,1,1,1000000008,
76051,22/06/2018,25/06/2018,2,220,59,1,1,1000000009,
76052,29/03/2018,31/03/2018,2,222,170,1,1,1000000010,
76053,26/03/2018,10/04/2018,4,257,88,1,1,1000000011,
76054,26/07/2018,09/08/2018,3,285,96,1,1,1000000012,
76055,25/07/2018,27/07/2018,4,238,47,1,1,1000000013,
76056,13/05/2018,16/05/2018,1,235,143,1,1,1000000014,
76057,25/09/2018,06/10/2018,1,299,196,1,1,1000000015,
76058,18/10/2018,01/11/2018,3,225,146,1,1,1000000016,
76059,25/07/2018,08/08/2018,1,293,2,1,1,1000000017,
76060,10/11/2018,17/11/2018,4,297,237,1,1,1000000018,
76061,16/01/2018,18/01/2018,2,220,107,1,1,1000000019,
76062,18/03/2018,27/03/2018,2,248,199,1,1,1000000020,
76063,06/07/2018,17/07/2018,3,288,140,1,1,1000000021,
76064,05/10/2018,13/10/2018,2,233,47,1,1,1000000022,
76065,23/06/2018,28/06/2018,2,238,271,1,1,1000000023,
76066,09/02/2018,11/02/2018,2,252,55,1,1,1000000024,
76067,28/07/2018,11/08/2018,3,243,13,1,1,1000000025,
76068,13/11/2018,22/11/2018,3,228,281,1,1,1000000026,
76069,31/10/2018,04/11/2018,4,269,100,1,1,1000000027,
76070,02/11/2018,08/11/2018,4,256,74,1,1,1000000028,
76071,20/09/2018,24/09/2018,3,224,299,1,1,1000000029,
76072,29/05/2018,05/06/2018,4,267,187,1,1,1000000030,
76073,10/11/2018,25/11/2018,2,295,271,1,1,1000000031,
76074,02/01/2018,08/01/2018,4,238,98,1,1,1000000032,
76075,11/09/2018,13/09/2018,4,208,190,1,1,1000000033,
76076,27/12/2018,01/01/2019,1,238,229,1,1,1000000034,
76077,18/07/2018,28/07/2018,3,213,157,1,1,1000000035,
76078,16/11/2018,30/11/2018,1,209,270,1,1,1000000036,
76079,27/01/2018,03/02/2018,4,217,296,1,1,1000000037,
76080,20/06/2018,27/06/2018,2,255,91,1,1,1000000038,
76081,07/02/2018,16/02/2018,2,293,135,1,1,1000000039,
76082,12/04/2018,16/04/2018,1,219,59,1,1,1000000040,
76083,20/05/2018,23/05/2018,3,205,193,1,1,1000000041,
76084,20/07/2018,24/07/2018,1,238,66,1,1,1000000042,
76085,08/01/2018,21/01/2018,2,234,133,1,1,1000000043,
76086,13/12/2018,28/12/2018,1,280,102,1,1,1000000044,
76087,29/08/2018,12/09/2018,2,202,159,1,1,1000000045,
76088,03/02/2018,09/02/2018,3,240,260,1,1,1000000046,
76089,27/06/2018,06/07/2018,4,275,158,1,1,1000000047,
76090,26/11/2018,28/11/2018,3,225,43,1,1,1000000048,
76091,20/06/2018,30/06/2018,1,203,5,1,1,1000000049,
76092,02/02/2018,15/02/2018,2,224,289,1,1,1000000050,
76093,15/11/2018,18/11/2018,1,206,24,1,1,1000000051,
76094,18/07/2018,26/07/2018,1,209,274,1,1,1000000052,
76095,31/05/2018,08/06/2018,1,213,206,1,1,1000000053,
76096,15/05/2018,26/05/2018,2,251,287,1,1,1000000054,
76097,17/05/2018,21/05/2018,1,225,239,1,1,1000000055,
76098,25/08/2018,07/09/2018,4,295,259,1,1,1000000056,
