IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,CHECKIN,PAGADO,IDCLIENTE,IDCONVENCION
31047,09/09/2021,11/09/2021,2,235,61,0,0,1000000000,
31048,17/06/2021,28/06/2021,2,217,201,0,0,1000000001,
31049,24/08/2021,29/08/2021,1,216,189,0,0,1000000002,
31050,07/05/2021,18/05/2021,2,223,224,1,1,1000000003,
31051,10/09/2021,15/09/2021,2,221,275,1,1,1000000004,
31052,13/02/2021,19/02/2021,4,271,230,0,0,1000000005,
31053,27/04/2021,08/05/2021,1,280,199,0,0,1000000006,
31054,07/05/2021,18/05/2021,2,275,28,0,0,1000000007,
31055,18/04/2021,01/05/2021,2,255,3,1,1,1000000008,
31056,04/01/2021,05/01/2021,1,243,23,1,1,1000000009,
31057,10/01/2021,13/01/2021,4,244,140,0,0,1000000010,
31058,31/08/2021,02/09/2021,4,297,281,0,0,1000000011,
31059,06/10/2021,16/10/2021,2,264,8,0,0,1000000012,
31060,30/11/2021,08/12/2021,2,239,186,0,0,1000000013,
31061,10/12/2021,21/12/2021,4,243,100,0,0,1000000014,
31062,21/11/2021,28/11/2021,1,279,261,1,1,1000000015,
31063,25/11/2021,01/12/2021,2,290,219,0,0,1000000016,
31064,01/04/2021,04/04/2021,2,207,10,1,1,1000000017,
31065,17/07/2021,24/07/2021,3,236,58,0,0,1000000018,
31066,20/11/2021,26/11/2021,3,268,111,0,0,1000000019,
31067,18/02/2021,22/02/2021,2,208,234,0,0,1000000020,
31068,11/12/2021,23/12/2021,3,249,17,1,1,1000000021,
31069,21/09/2021,04/10/2021,4,267,221,1,1,1000000022,
31070,05/04/2021,09/04/2021,3,267,110,0,0,1000000023,
31071,12/03/2021,13/03/2021,4,261,167,1,1,1000000024,
31072,01/11/2021,13/11/2021,2,221,170,1,1,1000000025,
31073,10/08/2021,16/08/2021,3,300,64,1,1,1000000026,
31074,02/09/2021,16/09/2021,1,210,100,1,1,1000000027,
31075,06/08/2021,18/08/2021,2,297,278,0,0,1000000028,
31076,17/09/2021,26/09/2021,3,297,200,0,0,1000000029,
31077,08/01/2021,17/01/2021,1,234,35,0,0,1000000030,
31078,30/01/2021,13/02/2021,3,248,273,0,0,1000000031,
31079,07/04/2021,08/04/2021,4,216,45,1,1,1000000032,
31080,11/10/2021,18/10/2021,1,283,296,0,0,1000000033,
31081,10/09/2021,19/09/2021,4,210,45,1,1,1000000034,
31082,04/01/2021,12/01/2021,2,251,11,0,0,1000000035,
31083,10/10/2021,18/10/2021,1,270,148,1,1,1000000036,
31084,08/10/2021,10/10/2021,4,224,118,0,0,1000000037,
31085,24/10/2021,04/11/2021,2,292,175,0,0,1000000038,
31086,10/06/2021,14/06/2021,3,232,277,1,1,1000000039,
31087,10/09/2021,21/09/2021,4,263,223,0,0,1000000040,
31088,06/09/2021,20/09/2021,3,201,288,0,0,1000000041,
31089,22/02/2021,28/02/2021,1,287,109,1,1,1000000042,
31090,06/06/2021,13/06/2021,2,241,247,1,1,1000000043,
31091,24/05/2021,27/05/2021,4,266,115,1,1,1000000044,
31092,19/09/2021,04/10/2021,3,256,254,0,0,1000000045,
31093,09/01/2021,15/01/2021,3,269,21,1,1,1000000046,
31094,18/02/2021,02/03/2021,2,244,293,1,1,1000000047,
31095,20/02/2021,01/03/2021,1,258,277,1,1,1000000048,
31096,08/02/2021,18/02/2021,2,228,253,1,1,1000000049,
31097,29/10/2021,08/11/2021,4,210,217,1,1,1000000050,
31098,28/07/2021,09/08/2021,4,260,231,1,1,1000000051,
31099,25/07/2021,09/08/2021,1,234,87,1,1,1000000052,
31100,19/08/2021,25/08/2021,3,227,184,0,0,1000000053,
31101,13/11/2021,20/11/2021,4,288,66,1,1,1000000054,
31102,06/03/2021,21/03/2021,3,247,230,0,0,1000000055,
31103,19/05/2021,01/06/2021,3,253,54,1,1,1000000056,
31104,03/07/2021,15/07/2021,2,222,170,0,0,1000000057,
31105,07/11/2021,13/11/2021,2,279,299,0,0,1000000058,
31106,09/05/2021,13/05/2021,3,272,57,0,0,1000000059,
31107,27/07/2021,06/08/2021,4,224,295,0,0,1000000060,
31108,07/06/2021,10/06/2021,1,240,78,0,0,1000000061,
31109,23/01/2021,28/01/2021,2,201,78,0,0,1000000062,
31110,28/02/2021,03/03/2021,4,224,199,1,1,1000000063,
31111,19/05/2021,31/05/2021,2,201,123,0,0,1000000064,
31112,04/11/2021,10/11/2021,4,215,1,0,0,1000000065,
31113,07/04/2021,18/04/2021,4,292,274,1,1,1000000066,
31114,17/10/2021,24/10/2021,4,236,98,1,1,1000000067,
31115,20/03/2021,25/03/2021,4,206,260,1,1,1000000068,
31116,28/11/2021,10/12/2021,4,264,194,0,0,1000000069,
31117,01/11/2021,02/11/2021,4,289,222,0,0,1000000070,
31118,05/12/2021,13/12/2021,2,290,85,0,0,1000000071,
31119,06/07/2021,07/07/2021,1,300,263,1,1,1000000072,
31120,20/09/2021,05/10/2021,3,286,269,1,1,1000000073,
31121,19/03/2021,21/03/2021,1,262,200,1,1,1000000074,
31122,13/09/2021,20/09/2021,3,246,134,0,0,1000000075,
31123,23/08/2021,07/09/2021,2,299,71,0,0,1000000076,
31124,21/07/2021,04/08/2021,2,295,260,0,0,1000000077,
31125,01/12/2021,09/12/2021,3,268,241,1,1,1000000078,
31126,25/04/2021,06/05/2021,4,283,238,0,0,1000000079,
31127,10/01/2021,13/01/2021,2,285,184,0,0,1000000080,
31128,27/02/2021,03/03/2021,4,274,298,0,0,1000000081,
31129,29/04/2021,01/05/2021,1,280,251,0,0,1000000082,
31130,03/07/2021,14/07/2021,1,264,87,0,0,1000000083,
31131,07/12/2021,19/12/2021,3,220,125,0,0,1000000084,
31132,05/10/2021,11/10/2021,2,291,200,0,0,1000000085,
31133,01/04/2021,05/04/2021,2,269,96,1,1,1000000086,
31134,16/12/2021,31/12/2021,2,298,138,0,0,1000000087,
31135,23/05/2021,27/05/2021,3,262,272,0,0,1000000088,
31136,25/09/2021,04/10/2021,2,298,215,1,1,1000000089,
31137,24/07/2021,28/07/2021,2,206,16,0,0,1000000090,
31138,13/12/2021,16/12/2021,2,248,113,1,1,1000000091,
31139,12/03/2021,19/03/2021,3,211,29,1,1,1000000092,
31140,04/08/2021,12/08/2021,1,258,11,1,1,1000000093,
31141,07/03/2021,14/03/2021,4,284,57,0,0,1000000094,
31142,03/11/2021,07/11/2021,4,285,19,1,1,1000000095,
31143,16/09/2021,29/09/2021,1,277,290,0,0,1000000096,
31144,20/09/2021,26/09/2021,2,209,30,1,1,1000000097,
31145,25/09/2021,07/10/2021,4,263,262,1,1,1000000098,
31146,18/11/2021,03/12/2021,3,208,135,0,0,1000000099,
31147,04/06/2021,05/06/2021,4,235,270,1,1,1000000100,
31148,12/09/2021,17/09/2021,3,202,273,0,0,1000000101,
31149,09/10/2021,24/10/2021,3,249,23,0,0,1000000102,
31150,16/08/2021,22/08/2021,3,282,176,0,0,1000000103,
31151,15/02/2021,02/03/2021,2,285,27,1,1,1000000104,
31152,24/04/2021,30/04/2021,4,215,92,1,1,1000000105,
31153,12/06/2021,15/06/2021,2,268,275,1,1,1000000106,
31154,01/03/2021,05/03/2021,1,202,293,1,1,1000000107,
31155,01/05/2021,06/05/2021,2,236,2,0,0,1000000108,
31156,12/10/2021,22/10/2021,3,281,42,1,1,1000000109,
31157,03/08/2021,14/08/2021,4,206,135,1,1,1000000110,
31158,06/05/2021,15/05/2021,1,243,275,0,0,1000000111,
31159,10/09/2021,25/09/2021,3,206,53,0,0,1000000112,
31160,30/06/2021,01/07/2021,2,281,163,1,1,1000000113,
31161,21/08/2021,01/09/2021,4,281,156,1,1,1000000114,
31162,27/07/2021,08/08/2021,1,267,261,1,1,1000000115,
31163,08/11/2021,10/11/2021,3,207,12,1,1,1000000116,
31164,18/08/2021,20/08/2021,4,235,44,0,0,1000000117,
31165,10/06/2021,25/06/2021,1,261,253,0,0,1000000118,
31166,17/12/2021,01/01/2022,2,270,245,0,0,1000000119,
31167,07/09/2021,09/09/2021,3,282,7,1,1,1000000120,
31168,20/05/2021,30/05/2021,1,292,176,1,1,1000000121,
31169,29/05/2021,09/06/2021,2,285,97,0,0,1000000122,
31170,05/01/2021,20/01/2021,3,236,236,0,0,1000000123,
31171,05/05/2021,15/05/2021,4,254,7,1,1,1000000124,
31172,13/01/2021,26/01/2021,2,253,60,1,1,1000000125,
31173,24/12/2021,28/12/2021,2,261,43,0,0,1000000126,
31174,15/04/2021,27/04/2021,3,247,181,1,1,1000000127,
31175,01/08/2021,03/08/2021,3,295,42,0,0,1000000128,
31176,03/12/2021,10/12/2021,1,228,30,1,1,1000000129,
31177,17/12/2021,27/12/2021,3,248,61,1,1,1000000130,
31178,14/09/2021,20/09/2021,2,284,192,1,1,1000000131,
31179,22/04/2021,04/05/2021,4,286,272,1,1,1000000132,
31180,18/05/2021,30/05/2021,4,218,24,1,1,1000000133,
31181,07/09/2021,13/09/2021,2,247,209,0,0,1000000134,
31182,22/05/2021,24/05/2021,4,210,154,1,1,1000000135,
31183,29/06/2021,30/06/2021,2,212,287,1,1,1000000136,
31184,12/06/2021,26/06/2021,3,229,10,0,0,1000000137,
31185,12/12/2021,14/12/2021,1,222,91,0,0,1000000138,
31186,02/06/2021,06/06/2021,1,257,10,1,1,1000000139,
31187,28/10/2021,10/11/2021,3,267,131,1,1,1000000140,
31188,13/04/2021,24/04/2021,3,287,2,0,0,1000000141,
31189,06/02/2021,15/02/2021,4,286,28,0,0,1000000142,
31190,28/05/2021,11/06/2021,1,297,91,0,0,1000000143,
31191,09/03/2021,15/03/2021,2,236,202,0,0,1000000144,
31192,11/07/2021,18/07/2021,3,205,27,0,0,1000000145,
31193,17/04/2021,23/04/2021,3,266,232,1,1,1000000146,
31194,25/09/2021,05/10/2021,3,247,236,1,1,1000000147,
31195,30/10/2021,07/11/2021,3,243,259,1,1,1000000148,
31196,17/04/2021,26/04/2021,1,296,299,1,1,1000000149,
31197,12/04/2021,15/04/2021,1,238,53,1,1,1000000150,
31198,10/10/2021,19/10/2021,3,298,270,1,1,1000000151,
31199,26/12/2021,03/01/2022,1,205,219,1,1,1000000152,
31200,21/08/2021,30/08/2021,1,214,174,1,1,1000000153,
31201,14/10/2021,20/10/2021,1,294,241,1,1,1000000154,
31202,12/09/2021,26/09/2021,1,203,104,1,1,1000000155,
31203,15/10/2021,17/10/2021,2,211,79,0,0,1000000156,
31204,03/04/2021,10/04/2021,3,207,17,0,0,1000000157,
31205,20/07/2021,23/07/2021,3,235,24,0,0,1000000158,
31206,21/12/2021,01/01/2022,4,216,223,0,0,1000000159,
31207,01/02/2021,07/02/2021,1,252,37,0,0,1000000160,
31208,11/04/2021,23/04/2021,1,240,37,0,0,1000000161,
31209,08/09/2021,10/09/2021,4,287,166,1,1,1000000162,
31210,01/04/2021,04/04/2021,3,225,199,1,1,1000000163,
31211,11/09/2021,22/09/2021,1,267,63,0,0,1000000164,
31212,06/01/2021,09/01/2021,4,222,67,0,0,1000000165,
31213,13/06/2021,15/06/2021,4,266,245,0,0,1000000166,
31214,02/01/2021,05/01/2021,2,296,43,1,1,1000000167,
31215,25/03/2021,04/04/2021,3,227,240,0,0,1000000168,
31216,20/12/2021,21/12/2021,1,221,88,0,0,1000000169,
31217,19/02/2021,28/02/2021,4,233,254,0,0,1000000170,
31218,22/10/2021,31/10/2021,1,287,256,1,1,1000000171,
31219,09/02/2021,22/02/2021,1,260,49,0,0,1000000172,
31220,07/11/2021,13/11/2021,2,296,153,1,1,1000000173,
31221,06/05/2021,17/05/2021,2,295,91,0,0,1000000174,
31222,12/08/2021,20/08/2021,1,276,62,1,1,1000000175,
31223,29/10/2021,08/11/2021,3,286,157,0,0,1000000176,
31224,15/08/2021,19/08/2021,2,269,28,0,0,1000000177,
31225,18/02/2021,24/02/2021,4,228,81,1,1,1000000178,
31226,12/11/2021,17/11/2021,4,266,233,0,0,1000000179,
31227,16/08/2021,28/08/2021,3,249,272,1,1,1000000180,
31228,25/01/2021,02/02/2021,3,261,4,0,0,1000000181,
31229,21/10/2021,25/10/2021,2,229,172,0,0,1000000182,
31230,17/08/2021,24/08/2021,2,279,175,1,1,1000000183,
31231,23/03/2021,24/03/2021,1,201,294,1,1,1000000184,
31232,30/09/2021,03/10/2021,2,263,283,0,0,1000000185,
31233,27/01/2021,10/02/2021,2,212,280,0,0,1000000186,
31234,25/06/2021,08/07/2021,2,256,14,1,1,1000000187,
31235,28/02/2021,04/03/2021,2,202,41,1,1,1000000188,
31236,20/04/2021,25/04/2021,1,260,66,1,1,1000000189,
31237,24/03/2021,07/04/2021,4,235,58,1,1,1000000190,
31238,16/10/2021,22/10/2021,4,230,129,1,1,1000000191,
31239,08/12/2021,13/12/2021,4,260,177,0,0,1000000192,
31240,05/11/2021,17/11/2021,1,221,159,0,0,1000000193,
31241,25/10/2021,09/11/2021,2,257,298,0,0,1000000194,
31242,21/04/2021,05/05/2021,3,294,234,1,1,1000000195,
31243,24/01/2021,08/02/2021,4,248,106,1,1,1000000196,
31244,29/08/2021,31/08/2021,1,230,249,0,0,1000000197,
31245,01/08/2021,10/08/2021,3,255,214,0,0,1000000198,
31246,11/12/2021,24/12/2021,1,264,221,1,1,1000000199,
31247,18/11/2021,03/12/2021,2,208,237,0,0,1000000200,
31248,20/01/2021,23/01/2021,1,264,66,1,1,1000000201,
31249,06/01/2021,12/01/2021,3,277,141,1,1,1000000202,
31250,23/04/2021,27/04/2021,2,224,284,0,0,1000000203,
31251,21/01/2021,03/02/2021,1,234,158,0,0,1000000204,
31252,01/01/2021,05/01/2021,4,228,262,1,1,1000000205,
31253,06/02/2021,11/02/2021,2,213,125,0,0,1000000206,
31254,26/05/2021,05/06/2021,1,276,54,0,0,1000000207,
31255,05/07/2021,11/07/2021,4,229,241,1,1,1000000208,
31256,09/12/2021,22/12/2021,3,251,231,0,0,1000000209,
31257,25/12/2021,30/12/2021,3,236,31,1,1,1000000210,
31258,11/02/2021,22/02/2021,2,261,278,1,1,1000000211,
31259,30/11/2021,13/12/2021,2,255,121,1,1,1000000212,
31260,27/04/2021,01/05/2021,4,296,55,1,1,1000000213,
31261,11/07/2021,17/07/2021,2,299,80,0,0,1000000214,
31262,23/11/2021,28/11/2021,4,249,138,1,1,1000000215,
31263,26/12/2021,10/01/2022,3,242,168,1,1,1000000216,
31264,03/03/2021,04/03/2021,2,251,3,0,0,1000000217,
31265,10/01/2021,16/01/2021,1,247,67,0,0,1000000218,
31266,03/06/2021,13/06/2021,1,202,210,0,0,1000000219,
31267,30/08/2021,05/09/2021,1,235,173,0,0,1000000220,
31268,09/03/2021,19/03/2021,2,268,85,0,0,1000000221,
31269,21/12/2021,23/12/2021,4,245,197,1,1,1000000222,
31270,17/06/2021,28/06/2021,4,242,27,1,1,1000000223,
31271,30/11/2021,10/12/2021,3,209,28,1,1,1000000224,
31272,30/10/2021,05/11/2021,3,251,239,1,1,1000000225,
31273,18/07/2021,22/07/2021,1,297,231,0,0,1000000226,
31274,24/08/2021,31/08/2021,2,222,212,0,0,1000000227,
31275,11/02/2021,14/02/2021,4,282,269,0,0,1000000228,
31276,12/11/2021,22/11/2021,3,223,83,1,1,1000000229,
31277,12/02/2021,20/02/2021,2,276,280,1,1,1000000230,
31278,06/09/2021,08/09/2021,4,223,211,0,0,1000000231,
31279,29/07/2021,03/08/2021,4,249,55,1,1,1000000232,
31280,22/09/2021,25/09/2021,4,240,161,0,0,1000000233,
31281,15/08/2021,25/08/2021,1,296,161,0,0,1000000234,
31282,24/09/2021,05/10/2021,1,238,46,1,1,1000000235,
31283,03/11/2021,06/11/2021,2,292,190,1,1,1000000236,
31284,28/07/2021,04/08/2021,2,254,187,1,1,1000000237,
31285,16/04/2021,23/04/2021,3,215,169,0,0,1000000238,
31286,23/09/2021,26/09/2021,2,207,127,0,0,1000000239,
31287,27/09/2021,10/10/2021,2,278,284,0,0,1000000240,
31288,14/04/2021,24/04/2021,2,254,275,0,0,1000000241,
31289,28/11/2021,08/12/2021,3,283,54,1,1,1000000242,
31290,11/07/2021,24/07/2021,1,249,254,1,1,1000000243,
31291,17/05/2021,18/05/2021,1,254,140,0,0,1000000244,
31292,28/01/2021,31/01/2021,3,257,192,0,0,1000000245,
31293,28/03/2021,05/04/2021,1,283,267,1,1,1000000246,
31294,19/11/2021,26/11/2021,2,270,159,0,0,1000000247,
31295,04/07/2021,15/07/2021,4,213,172,0,0,1000000248,
31296,23/08/2021,25/08/2021,1,268,26,0,0,1000000249,
31297,28/05/2021,01/06/2021,4,292,12,1,1,1000000250,
31298,16/05/2021,17/05/2021,4,263,83,0,0,1000000251,
31299,07/12/2021,16/12/2021,4,236,180,0,0,1000000252,
31300,01/07/2021,13/07/2021,2,250,174,0,0,1000000253,
31301,27/07/2021,02/08/2021,4,283,34,0,0,1000000254,
31302,07/07/2021,08/07/2021,2,228,189,0,0,1000000255,
31303,16/11/2021,23/11/2021,3,224,186,0,0,1000000256,
31304,23/05/2021,25/05/2021,2,245,255,1,1,1000000257,
31305,23/04/2021,07/05/2021,2,269,201,1,1,1000000258,
31306,05/09/2021,20/09/2021,1,260,41,1,1,1000000259,
31307,28/12/2021,12/01/2022,3,241,53,0,0,1000000260,
31308,02/11/2021,04/11/2021,4,256,20,1,1,1000000261,
31309,28/09/2021,10/10/2021,4,205,161,0,0,1000000262,
31310,24/02/2021,09/03/2021,2,205,157,1,1,1000000263,
31311,26/12/2021,10/01/2022,2,272,89,1,1,1000000264,
31312,24/05/2021,28/05/2021,4,286,194,0,0,1000000265,
31313,21/06/2021,27/06/2021,4,229,196,0,0,1000000266,
31314,29/06/2021,12/07/2021,3,228,18,1,1,1000000267,
31315,22/09/2021,27/09/2021,2,218,240,1,1,1000000268,
31316,26/03/2021,08/04/2021,2,252,276,0,0,1000000269,
31317,02/05/2021,17/05/2021,1,211,272,0,0,1000000270,
31318,02/07/2021,13/07/2021,3,258,265,1,1,1000000271,
31319,23/06/2021,29/06/2021,4,236,130,0,0,1000000272,
31320,28/12/2021,07/01/2022,3,251,287,1,1,1000000273,
31321,20/07/2021,24/07/2021,1,259,71,0,0,1000000274,
31322,25/08/2021,26/08/2021,3,211,218,1,1,1000000275,
31323,05/07/2021,13/07/2021,1,293,269,1,1,1000000276,
31324,08/03/2021,09/03/2021,1,277,243,0,0,1000000277,
31325,03/09/2021,16/09/2021,1,203,227,1,1,1000000278,
31326,23/03/2021,06/04/2021,3,225,180,1,1,1000000279,
31327,27/09/2021,08/10/2021,3,294,156,0,0,1000000280,
31328,01/09/2021,16/09/2021,1,300,22,1,1,1000000281,
31329,13/12/2021,27/12/2021,1,242,266,1,1,1000000282,
31330,01/11/2021,06/11/2021,4,220,51,0,0,1000000283,
31331,23/06/2021,06/07/2021,2,232,134,1,1,1000000284,
31332,30/10/2021,09/11/2021,3,280,269,0,0,1000000285,
31333,06/01/2021,18/01/2021,4,252,4,1,1,1000000286,
31334,30/04/2021,08/05/2021,1,227,139,0,0,1000000287,
31335,12/05/2021,17/05/2021,1,266,279,0,0,1000000288,
31336,23/02/2021,24/02/2021,1,209,282,1,1,1000000289,
31337,11/05/2021,24/05/2021,3,211,256,1,1,1000000290,
31338,23/06/2021,29/06/2021,4,275,262,0,0,1000000291,
31339,31/05/2021,03/06/2021,2,299,207,1,1,1000000292,
31340,10/07/2021,18/07/2021,1,270,228,0,0,1000000293,
31341,22/09/2021,29/09/2021,4,271,60,1,1,1000000294,
31342,25/05/2021,08/06/2021,2,264,153,1,1,1000000295,
31343,23/12/2021,28/12/2021,1,244,10,0,0,1000000296,
31344,12/02/2021,15/02/2021,4,257,5,1,1,1000000297,
31345,19/10/2021,25/10/2021,4,238,17,0,0,1000000298,
31346,04/12/2021,07/12/2021,3,268,127,0,0,1000000299,
31347,03/04/2021,07/04/2021,3,252,21,1,1,1000000300,
31348,30/04/2021,14/05/2021,4,295,154,1,1,1000000301,
31349,30/06/2021,10/07/2021,2,239,51,1,1,1000000302,
31350,22/03/2021,25/03/2021,1,214,124,0,0,1000000303,
31351,15/06/2021,25/06/2021,2,292,154,1,1,1000000304,
31352,29/07/2021,01/08/2021,3,284,93,1,1,1000000305,
31353,19/08/2021,01/09/2021,3,233,7,1,1,1000000306,
31354,01/12/2021,10/12/2021,4,268,142,1,1,1000000307,
31355,20/09/2021,29/09/2021,2,256,237,1,1,1000000308,
31356,07/02/2021,18/02/2021,1,243,83,1,1,1000000309,
31357,31/10/2021,11/11/2021,1,216,253,1,1,1000000310,
31358,28/07/2021,06/08/2021,2,254,103,0,0,1000000311,
31359,23/11/2021,28/11/2021,1,204,251,1,1,1000000312,
31360,07/07/2021,18/07/2021,1,223,176,0,0,1000000313,
31361,07/01/2021,21/01/2021,2,228,225,1,1,1000000314,
31362,25/08/2021,07/09/2021,2,300,159,0,0,1000000315,
31363,04/10/2021,08/10/2021,2,289,254,0,0,1000000316,
31364,02/05/2021,05/05/2021,2,259,156,0,0,1000000317,
31365,20/03/2021,31/03/2021,4,234,14,1,1,1000000318,
31366,17/07/2021,01/08/2021,4,237,89,1,1,1000000319,
31367,20/12/2021,25/12/2021,2,299,143,1,1,1000000320,
31368,24/11/2021,28/11/2021,3,230,218,1,1,1000000321,
31369,10/06/2021,25/06/2021,1,236,166,1,1,1000000322,
31370,07/02/2021,19/02/2021,3,267,140,1,1,1000000323,
31371,31/05/2021,07/06/2021,2,228,102,1,1,1000000324,
31372,24/06/2021,03/07/2021,3,274,101,1,1,1000000325,
31373,23/08/2021,04/09/2021,2,229,182,0,0,1000000326,
31374,14/07/2021,16/07/2021,4,230,28,0,0,1000000327,
31375,23/11/2021,30/11/2021,1,295,169,0,0,1000000328,
31376,20/12/2021,25/12/2021,1,203,248,0,0,1000000329,
31377,25/11/2021,09/12/2021,4,262,30,0,0,1000000330,
31378,19/09/2021,25/09/2021,3,202,6,0,0,1000000331,
31379,22/06/2021,29/06/2021,3,228,129,0,0,1000000332,
31380,11/01/2021,24/01/2021,1,294,19,1,1,1000000333,
31381,03/08/2021,18/08/2021,1,299,51,1,1,1000000334,
31382,24/09/2021,27/09/2021,1,257,295,0,0,1000000335,
31383,13/03/2021,14/03/2021,1,227,141,1,1,1000000336,
31384,31/10/2021,12/11/2021,2,298,53,1,1,1000000337,
31385,11/03/2021,19/03/2021,1,237,248,0,0,1000000338,
31386,03/10/2021,09/10/2021,3,275,75,0,0,1000000339,
31387,19/07/2021,28/07/2021,4,221,123,1,1,1000000340,
31388,19/11/2021,21/11/2021,3,213,263,1,1,1000000341,
31389,15/03/2021,16/03/2021,4,283,23,1,1,1000000342,
31390,02/06/2021,16/06/2021,3,201,288,0,0,1000000343,
31391,01/12/2021,10/12/2021,1,263,22,0,0,1000000344,
31392,09/02/2021,19/02/2021,4,213,88,1,1,1000000345,
31393,27/10/2021,29/10/2021,1,280,254,0,0,1000000346,
31394,20/02/2021,24/02/2021,4,253,67,0,0,1000000347,
31395,26/02/2021,13/03/2021,3,233,117,1,1,1000000348,
31396,27/03/2021,09/04/2021,3,211,74,1,1,1000000349,
