IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,PAGADO,CHECKIN,IDCLIENTE,IDCONVENCION
247,16/09/2024,19/09/2024,2,10,245,1,1,1000001201,10
248,02/08/2024,10/08/2024,2,11,292,0,0,"",11
249,13/10/2024,17/10/2024,4,12,137,1,1,1000001203,12
250,17/06/2024,06/07/2024,3,13,98,1,1,1000001204,13
251,04/12/2024,23/12/2024,1,14,98,0,0,"",14
252,09/08/2024,12/08/2024,2,15,278,1,1,1000001206,15
253,25/01/2024,01/02/2024,1,16,110,0,0,"",16
254,27/06/2024,11/07/2024,4,17,289,0,0,"",17
255,13/06/2024,27/06/2024,1,18,170,0,0,"",18
256,30/10/2024,07/11/2024,2,19,277,1,1,1000001210,19
257,30/09/2024,12/10/2024,2,20,4,1,1,1000001211,20
258,01/02/2024,10/02/2024,1,21,88,0,0,"",21
259,14/02/2024,26/02/2024,3,22,84,1,1,1000001213,22
260,12/06/2024,22/06/2024,1,23,255,0,0,"",23
261,27/07/2024,06/08/2024,3,24,227,0,0,"",24
262,27/03/2024,06/04/2024,4,25,180,0,0,"",25
263,11/02/2024,27/02/2024,4,26,204,0,0,"",26
264,08/12/2024,18/12/2024,2,27,184,0,0,"",27
265,08/08/2024,27/08/2024,4,28,18,0,0,"",28
266,21/08/2024,03/09/2024,1,29,294,1,1,1000001220,29
267,16/12/2024,05/01/2025,2,30,11,0,0,"",30
268,05/06/2024,22/06/2024,4,31,178,0,0,"",31
269,13/11/2024,02/12/2024,3,32,4,1,1,1000001223,32
270,06/05/2024,25/05/2024,2,33,217,1,1,1000001224,33
271,04/06/2024,23/06/2024,1,34,71,0,0,"",34
272,21/08/2024,03/09/2024,4,35,100,0,0,"",35
273,06/07/2024,18/07/2024,1,36,134,0,0,"",36
274,09/06/2024,23/06/2024,3,37,36,0,0,"",37
275,26/10/2024,07/11/2024,2,38,271,1,1,1000001229,38
276,19/01/2024,06/02/2024,1,39,224,1,1,1000001230,39
277,11/10/2024,17/10/2024,1,40,191,1,1,1000001231,40
278,03/10/2024,07/10/2024,4,41,49,0,0,"",41
279,11/01/2024,22/01/2024,3,42,93,1,1,1000001233,42
280,19/07/2024,04/08/2024,4,43,237,1,1,1000001234,43
281,14/08/2024,21/08/2024,1,44,150,1,1,1000001235,44
282,21/04/2024,11/05/2024,3,45,189,0,0,"",45
283,18/07/2024,25/07/2024,1,46,165,1,1,1000001237,46
284,14/07/2024,03/08/2024,3,47,132,1,1,1000001238,47
285,05/05/2024,13/05/2024,3,48,197,0,0,"",48
286,02/11/2024,07/11/2024,3,49,217,0,0,"",49
287,15/12/2024,19/12/2024,3,50,268,0,0,"",50
288,10/01/2024,19/01/2024,3,51,70,0,0,"",51
289,14/12/2024,03/01/2025,3,52,199,1,1,1000001243,52
290,12/02/2024,03/03/2024,2,53,151,1,1,1000001244,53
291,16/07/2024,28/07/2024,2,54,264,1,1,1000001245,54
292,10/01/2024,15/01/2024,2,55,50,0,0,"",55
293,17/08/2024,29/08/2024,1,56,76,1,1,1000001247,56
294,28/10/2024,07/11/2024,2,57,286,1,1,1000001248,57
295,14/09/2024,22/09/2024,1,58,198,0,0,"",58
296,17/03/2024,06/04/2024,2,59,248,0,0,"",59
297,09/08/2024,23/08/2024,4,60,247,1,1,1000001251,60
298,12/03/2024,28/03/2024,4,61,198,1,1,1000001252,61
299,06/11/2024,10/11/2024,3,62,70,0,0,"",62
300,12/10/2024,27/10/2024,2,63,239,1,1,1000001254,63
301,03/02/2024,07/02/2024,2,64,300,1,1,1000001255,64
302,19/03/2024,24/03/2024,4,65,90,1,1,1000001256,65
303,18/08/2024,26/08/2024,3,66,153,1,1,1000001257,66
304,08/03/2024,24/03/2024,4,67,176,0,0,"",67
305,12/07/2024,21/07/2024,2,68,241,1,1,1000001259,68
306,19/08/2024,22/08/2024,2,69,65,0,0,"",69
307,02/11/2024,21/11/2024,4,70,205,0,0,"",70
308,19/07/2024,29/07/2024,4,71,61,0,0,"",71
309,29/04/2024,04/05/2024,4,72,217,1,1,1000001263,72
310,19/04/2024,04/05/2024,3,73,40,0,0,"",73
311,17/09/2024,05/10/2024,3,74,267,0,0,"",74
312,25/06/2024,08/07/2024,2,75,36,0,0,"",75
313,20/02/2024,07/03/2024,1,76,208,0,0,"",76
314,08/12/2024,12/12/2024,3,77,149,0,0,"",77
315,04/09/2024,22/09/2024,1,78,15,1,1,1000001269,78
316,23/12/2024,06/01/2025,4,79,16,1,1,1000001270,79
317,13/05/2024,19/05/2024,3,80,187,1,1,1000001271,80
318,18/12/2024,26/12/2024,2,81,49,0,0,"",81
319,12/01/2024,15/01/2024,2,82,63,1,1,1000001273,82
320,06/05/2024,12/05/2024,4,83,295,0,0,"",83
321,30/01/2024,18/02/2024,1,84,188,1,1,1000001275,84
322,13/12/2024,17/12/2024,4,85,170,1,1,1000001276,85
323,19/08/2024,01/09/2024,4,86,144,0,0,"",86
324,03/06/2024,15/06/2024,3,87,191,0,0,"",87
325,20/11/2024,04/12/2024,3,88,219,0,0,"",88
326,04/10/2024,14/10/2024,4,89,294,0,0,"",89
327,12/12/2024,01/01/2025,4,90,300,0,0,"",90
328,30/09/2024,14/10/2024,4,91,261,1,1,1000001282,91
329,19/02/2024,07/03/2024,4,92,272,0,0,"",92
330,06/05/2024,15/05/2024,4,93,182,0,0,"",93
331,25/07/2024,30/07/2024,3,94,59,1,1,1000001285,94
332,17/10/2024,26/10/2024,2,95,219,0,0,"",95
333,18/01/2024,01/02/2024,3,96,55,1,1,1000001287,96
334,20/02/2024,07/03/2024,4,97,139,1,1,1000001288,97
335,04/05/2024,08/05/2024,1,98,110,0,0,"",98
336,25/02/2024,12/03/2024,1,99,195,1,1,1000001290,99
337,04/02/2024,22/02/2024,4,100,217,0,0,"",100
338,16/02/2024,22/02/2024,1,101,12,0,0,"",101
339,09/10/2024,14/10/2024,1,102,31,0,0,"",102
340,24/06/2024,28/06/2024,3,103,283,1,1,1000001294,103
341,11/09/2024,30/09/2024,3,104,153,0,0,"",104
342,23/03/2024,09/04/2024,1,105,79,1,1,1000001296,105
343,04/02/2024,24/02/2024,1,106,233,1,1,1000001297,106
344,03/12/2024,06/12/2024,2,107,106,0,0,"",107
345,21/03/2024,30/03/2024,1,108,275,1,1,1000001299,108
346,09/12/2024,24/12/2024,4,109,153,1,1,1000001300,109
347,28/02/2024,17/03/2024,1,110,110,1,1,1000001301,110
348,21/08/2024,27/08/2024,1,111,96,0,0,"",111
349,04/05/2024,08/05/2024,3,112,202,0,0,"",112
350,29/09/2024,05/10/2024,2,113,215,0,0,"",113
351,16/06/2024,30/06/2024,2,114,132,0,0,"",114
352,03/02/2024,22/02/2024,3,115,264,0,0,"",115
353,10/04/2024,30/04/2024,1,116,216,1,1,1000001307,116
354,07/04/2024,13/04/2024,1,117,223,0,0,"",117
355,12/11/2024,28/11/2024,3,118,31,1,1,1000001309,118
356,05/05/2024,18/05/2024,3,119,198,0,0,"",119
357,24/05/2024,10/06/2024,2,120,274,0,0,"",120
358,05/07/2024,09/07/2024,3,121,270,1,1,1000001312,121
359,09/09/2024,22/09/2024,3,122,23,1,1,1000001313,122
360,09/01/2024,13/01/2024,2,123,206,1,1,1000001314,123
361,24/08/2024,27/08/2024,4,124,288,1,1,1000001315,124
362,13/01/2024,22/01/2024,1,125,115,0,0,"",125
363,03/04/2024,08/04/2024,3,126,277,0,0,"",126
364,21/06/2024,01/07/2024,2,127,132,0,0,"",127
365,25/11/2024,06/12/2024,3,128,143,0,0,"",128
366,25/03/2024,14/04/2024,1,129,132,1,1,1000001320,129
367,01/08/2024,18/08/2024,4,130,6,0,0,"",130
368,01/03/2024,12/03/2024,1,131,142,0,0,"",131
369,14/04/2024,18/04/2024,3,132,213,1,1,1000001323,132
370,02/03/2024,08/03/2024,4,133,206,1,1,1000001324,133
371,17/12/2024,24/12/2024,2,134,50,0,0,"",134
372,30/09/2024,14/10/2024,4,135,57,0,0,"",135
373,07/09/2024,18/09/2024,3,136,43,1,1,1000001327,136
374,28/01/2024,16/02/2024,2,137,132,1,1,1000001328,137
375,19/11/2024,05/12/2024,2,138,220,0,0,"",138
376,16/08/2024,19/08/2024,3,139,140,1,1,1000001330,139
377,13/05/2024,02/06/2024,2,140,61,0,0,"",140
378,10/02/2024,13/02/2024,4,141,254,0,0,"",141
379,03/08/2024,11/08/2024,3,142,29,1,1,1000001333,142
380,25/09/2024,15/10/2024,4,143,296,0,0,"",143
381,24/10/2024,07/11/2024,4,144,189,0,0,"",144
