IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,CHECKIN,PAGADO,IDCLIENTE,IDCONVENCION
61043,01/06/2023,11/06/2023,2,290,288,1,1,1000000000,
61044,14/08/2023,18/08/2023,1,272,127,0,0,1000000001,
61045,17/01/2023,24/01/2023,2,228,215,0,0,1000000002,
61046,16/06/2023,29/06/2023,2,232,280,0,0,1000000003,
61047,08/01/2023,19/01/2023,3,262,18,1,1,1000000004,
61048,19/05/2023,22/05/2023,4,293,132,0,0,1000000005,
61049,04/03/2023,07/03/2023,4,201,21,0,0,1000000006,
61050,05/05/2023,17/05/2023,3,212,80,0,0,1000000007,
61051,12/02/2023,15/02/2023,1,273,91,0,0,1000000008,
61052,11/08/2023,13/08/2023,2,282,24,1,1,1000000009,
61053,08/08/2023,18/08/2023,1,257,10,0,0,1000000010,
61054,13/06/2023,21/06/2023,1,275,14,0,0,1000000011,
61055,25/02/2023,03/03/2023,3,288,124,0,0,1000000012,
61056,20/06/2023,25/06/2023,3,233,288,0,0,1000000013,
61057,02/04/2023,04/04/2023,3,268,22,0,0,1000000014,
61058,05/08/2023,09/08/2023,2,267,179,0,0,1000000015,
61059,25/02/2023,04/03/2023,1,257,155,1,1,1000000016,
61060,07/03/2023,10/03/2023,2,217,153,0,0,1000000017,
61061,24/03/2023,30/03/2023,3,238,239,1,1,1000000018,
61062,30/11/2023,10/12/2023,2,230,193,1,1,1000000019,
61063,10/04/2023,15/04/2023,2,212,256,0,0,1000000020,
61064,29/11/2023,10/12/2023,4,291,100,0,0,1000000021,
61065,05/06/2023,18/06/2023,1,254,178,0,0,1000000022,
61066,26/02/2023,02/03/2023,1,259,13,0,0,1000000023,
61067,12/03/2023,17/03/2023,3,203,222,1,1,1000000024,
61068,28/08/2023,04/09/2023,3,293,106,0,0,1000000025,
61069,01/07/2023,13/07/2023,3,278,203,1,1,1000000026,
61070,22/07/2023,26/07/2023,1,254,152,1,1,1000000027,
61071,31/10/2023,11/11/2023,4,269,146,1,1,1000000028,
61072,01/04/2023,13/04/2023,2,250,50,0,0,1000000029,
61073,26/10/2023,03/11/2023,3,228,51,0,0,1000000030,
61074,24/03/2023,02/04/2023,2,253,263,1,1,1000000031,
61075,12/02/2023,24/02/2023,1,250,180,0,0,1000000032,
61076,30/10/2023,10/11/2023,4,227,273,1,1,1000000033,
61077,22/01/2023,31/01/2023,1,288,181,1,1,1000000034,
61078,11/09/2023,24/09/2023,4,240,77,0,0,1000000035,
61079,03/09/2023,10/09/2023,2,281,207,1,1,1000000036,
61080,02/04/2023,05/04/2023,3,274,222,1,1,1000000037,
61081,31/05/2023,01/06/2023,2,291,251,1,1,1000000038,
61082,01/11/2023,03/11/2023,3,276,243,0,0,1000000039,
61083,08/06/2023,20/06/2023,2,300,209,0,0,1000000040,
61084,02/02/2023,07/02/2023,1,251,49,1,1,1000000041,
61085,22/02/2023,05/03/2023,2,259,56,0,0,1000000042,
61086,16/11/2023,30/11/2023,2,286,281,1,1,1000000043,
61087,17/09/2023,22/09/2023,4,247,117,0,0,1000000044,
61088,22/10/2023,03/11/2023,4,279,211,0,0,1000000045,
61089,23/05/2023,04/06/2023,1,299,195,0,0,1000000046,
61090,14/09/2023,26/09/2023,2,250,131,1,1,1000000047,
61091,04/09/2023,06/09/2023,3,267,8,0,0,1000000048,
61092,08/05/2023,21/05/2023,4,220,133,1,1,1000000049,
61093,20/07/2023,04/08/2023,2,255,214,1,1,1000000050,
61094,31/05/2023,10/06/2023,3,244,236,0,0,1000000051,
61095,11/07/2023,16/07/2023,2,256,76,0,0,1000000052,
61096,19/06/2023,22/06/2023,3,264,89,0,0,1000000053,
61097,11/11/2023,25/11/2023,4,269,18,0,0,1000000054,
61098,14/10/2023,23/10/2023,4,211,211,1,1,1000000055,
61099,17/05/2023,24/05/2023,3,233,111,1,1,1000000056,
61100,08/04/2023,09/04/2023,2,214,272,0,0,1000000057,
61101,14/07/2023,15/07/2023,4,295,284,1,1,1000000058,
61102,24/08/2023,04/09/2023,1,282,98,0,0,1000000059,
61103,25/09/2023,10/10/2023,4,222,89,0,0,1000000060,
61104,08/02/2023,12/02/2023,1,255,105,0,0,1000000061,
