IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,CHECKIN,PAGADO,IDCLIENTE,IDCONVENCION
16048,05/11/2020,17/11/2020,3,216,78,0,0,1000000000,
16049,08/08/2020,10/08/2020,3,228,93,0,0,1000000001,
16050,26/02/2020,02/03/2020,1,222,85,0,0,1000000002,
16051,18/01/2020,22/01/2020,2,240,52,1,1,1000000003,
16052,12/01/2020,13/01/2020,3,235,23,1,1,1000000004,
16053,02/01/2020,10/01/2020,3,267,20,1,1,1000000005,
16054,19/01/2020,25/01/2020,1,271,92,0,0,1000000006,
16055,05/03/2020,18/03/2020,3,202,132,1,1,1000000007,
16056,09/08/2020,12/08/2020,2,294,170,1,1,1000000008,
16057,23/12/2020,25/12/2020,2,275,213,1,1,1000000009,
16058,26/12/2020,03/01/2021,2,260,262,0,0,1000000010,
16059,14/01/2020,28/01/2020,1,217,253,1,1,1000000011,
16060,23/01/2020,27/01/2020,2,226,51,0,0,1000000012,
16061,20/06/2020,03/07/2020,4,239,209,1,1,1000000013,
16062,18/02/2020,25/02/2020,4,205,270,0,0,1000000014,
16063,01/04/2020,02/04/2020,3,254,283,1,1,1000000015,
16064,19/05/2020,31/05/2020,4,282,100,1,1,1000000016,
16065,10/04/2020,24/04/2020,2,258,203,1,1,1000000017,
16066,27/09/2020,01/10/2020,4,246,172,0,0,1000000018,
16067,24/11/2020,08/12/2020,2,236,197,1,1,1000000019,
16068,13/08/2020,20/08/2020,4,210,142,0,0,1000000020,
16069,24/07/2020,07/08/2020,2,214,156,1,1,1000000021,
16070,23/07/2020,25/07/2020,4,272,64,1,1,1000000022,
16071,29/09/2020,07/10/2020,1,290,34,1,1,1000000023,
16072,29/01/2020,31/01/2020,1,262,11,1,1,1000000024,
16073,25/09/2020,04/10/2020,1,201,155,0,0,1000000025,
16074,20/01/2020,21/01/2020,1,288,184,1,1,1000000026,
16075,06/05/2020,11/05/2020,2,235,95,1,1,1000000027,
16076,28/02/2020,05/03/2020,1,246,112,0,0,1000000028,
16077,17/12/2020,30/12/2020,1,295,287,1,1,1000000029,
16078,25/12/2020,02/01/2021,3,286,101,1,1,1000000030,
16079,16/04/2020,30/04/2020,1,249,41,1,1,1000000031,
16080,04/01/2020,11/01/2020,4,261,60,0,0,1000000032,
16081,08/09/2020,23/09/2020,4,248,268,1,1,1000000033,
16082,25/11/2020,01/12/2020,1,232,193,0,0,1000000034,
16083,16/12/2020,27/12/2020,2,236,297,0,0,1000000035,
16084,27/09/2020,03/10/2020,3,233,3,0,0,1000000036,
16085,14/09/2020,15/09/2020,1,243,234,1,1,1000000037,
16086,12/02/2020,14/02/2020,2,267,49,1,1,1000000038,
16087,16/02/2020,21/02/2020,1,223,146,1,1,1000000039,
16088,10/12/2020,12/12/2020,4,206,274,1,1,1000000040,
16089,20/07/2020,03/08/2020,2,290,12,1,1,1000000041,
16090,23/01/2020,01/02/2020,1,293,109,1,1,1000000042,
16091,18/02/2020,29/02/2020,4,255,284,1,1,1000000043,
16092,16/08/2020,18/08/2020,1,238,117,0,0,1000000044,
16093,26/02/2020,08/03/2020,2,266,15,0,0,1000000045,
16094,23/05/2020,26/05/2020,3,293,86,1,1,1000000046,
16095,29/08/2020,09/09/2020,2,285,165,0,0,1000000047,
16096,24/02/2020,25/02/2020,1,212,251,1,1,1000000048,
16097,12/03/2020,14/03/2020,3,284,287,0,0,1000000049,
16098,06/06/2020,14/06/2020,4,267,212,1,1,1000000050,
16099,21/12/2020,25/12/2020,3,296,113,1,1,1000000051,
16100,04/07/2020,09/07/2020,1,266,143,0,0,1000000052,
16101,21/02/2020,23/02/2020,4,206,165,1,1,1000000053,
16102,10/10/2020,15/10/2020,1,270,81,1,1,1000000054,
16103,28/08/2020,08/09/2020,4,209,84,1,1,1000000055,
16104,04/06/2020,12/06/2020,4,289,80,0,0,1000000056,
16105,27/04/2020,28/04/2020,3,232,293,0,0,1000000057,
16106,13/01/2020,18/01/2020,3,289,185,0,0,1000000058,
16107,06/03/2020,20/03/2020,4,258,139,0,0,1000000059,
16108,16/08/2020,25/08/2020,1,252,217,1,1,1000000060,
16109,02/02/2020,03/02/2020,4,247,204,0,0,1000000061,
16110,11/07/2020,25/07/2020,4,268,202,0,0,1000000062,
16111,16/11/2020,26/11/2020,4,252,260,1,1,1000000063,
16112,20/10/2020,24/10/2020,1,282,170,0,0,1000000064,
16113,26/07/2020,03/08/2020,2,293,256,1,1,1000000065,
16114,26/12/2020,05/01/2021,1,260,153,1,1,1000000066,
16115,28/01/2020,07/02/2020,3,209,252,0,0,1000000067,
16116,16/05/2020,20/05/2020,3,237,6,0,0,1000000068,
16117,02/08/2020,06/08/2020,3,267,24,0,0,1000000069,
16118,21/05/2020,29/05/2020,3,259,32,1,1,1000000070,
16119,22/04/2020,04/05/2020,2,227,12,1,1,1000000071,
16120,23/12/2020,04/01/2021,4,285,238,1,1,1000000072,
16121,23/11/2020,02/12/2020,3,264,82,1,1,1000000073,
16122,26/10/2020,01/11/2020,3,272,19,1,1,1000000074,
16123,08/08/2020,15/08/2020,4,221,221,0,0,1000000075,
16124,25/07/2020,09/08/2020,4,201,45,0,0,1000000076,
16125,04/06/2020,08/06/2020,2,239,92,0,0,1000000077,
16126,22/06/2020,28/06/2020,4,279,281,0,0,1000000078,
16127,02/04/2020,03/04/2020,1,281,198,0,0,1000000079,
16128,24/05/2020,08/06/2020,2,278,279,1,1,1000000080,
16129,15/12/2020,27/12/2020,2,203,92,0,0,1000000081,
16130,16/01/2020,28/01/2020,2,218,98,0,0,1000000082,
16131,14/03/2020,15/03/2020,3,234,180,0,0,1000000083,
16132,14/04/2020,25/04/2020,4,229,69,0,0,1000000084,
16133,30/04/2020,04/05/2020,1,283,14,1,1,1000000085,
16134,14/02/2020,16/02/2020,3,300,91,1,1,1000000086,
16135,31/05/2020,13/06/2020,1,221,263,1,1,1000000087,
16136,10/02/2020,22/02/2020,1,279,83,1,1,1000000088,
16137,14/11/2020,29/11/2020,4,281,126,1,1,1000000089,
16138,20/04/2020,25/04/2020,4,256,228,0,0,1000000090,
16139,22/04/2020,07/05/2020,3,246,219,1,1,1000000091,
16140,02/08/2020,08/08/2020,4,218,85,0,0,1000000092,
16141,01/12/2020,04/12/2020,1,242,263,0,0,1000000093,
16142,20/06/2020,21/06/2020,2,279,29,1,1,1000000094,
16143,21/07/2020,30/07/2020,1,250,174,1,1,1000000095,
16144,15/06/2020,18/06/2020,3,211,143,0,0,1000000096,
16145,21/05/2020,23/05/2020,2,250,42,0,0,1000000097,
16146,22/06/2020,26/06/2020,3,227,57,0,0,1000000098,
16147,22/01/2020,01/02/2020,2,234,296,0,0,1000000099,
16148,20/10/2020,01/11/2020,2,228,248,0,0,1000000100,
16149,11/04/2020,14/04/2020,4,265,65,0,0,1000000101,
16150,02/03/2020,16/03/2020,3,275,92,1,1,1000000102,
16151,23/05/2020,07/06/2020,4,287,229,0,0,1000000103,
16152,13/02/2020,22/02/2020,3,229,157,1,1,1000000104,
