IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,PAGADO,CHECKIN,IDCLIENTE,IDCONVENCION
649,16/09/2024,19/09/2024,2,10,246,1,1,1000001597,10
650,02/08/2024,10/08/2024,1,11,2,0,0,"",11
651,13/10/2024,17/10/2024,2,12,98,1,1,1000001599,12
652,17/06/2024,06/07/2024,3,13,70,1,1,1000001600,13
653,04/12/2024,23/12/2024,3,14,245,0,0,"",14
654,09/08/2024,12/08/2024,4,15,60,1,1,1000001602,15
655,25/01/2024,01/02/2024,4,16,267,0,0,"",16
656,27/06/2024,11/07/2024,4,17,191,0,0,"",17
657,13/06/2024,27/06/2024,2,18,218,0,0,"",18
658,30/10/2024,07/11/2024,4,19,10,1,1,1000001606,19
659,30/09/2024,12/10/2024,2,20,131,1,1,1000001607,20
660,01/02/2024,10/02/2024,3,21,260,0,0,"",21
661,14/02/2024,26/02/2024,3,22,275,1,1,1000001609,22
662,12/06/2024,22/06/2024,2,23,276,0,0,"",23
663,27/07/2024,06/08/2024,2,24,148,0,0,"",24
664,27/03/2024,06/04/2024,4,25,221,0,0,"",25
665,11/02/2024,27/02/2024,2,26,248,0,0,"",26
666,08/12/2024,18/12/2024,1,27,167,0,0,"",27
667,08/08/2024,27/08/2024,1,28,31,0,0,"",28
668,21/08/2024,03/09/2024,1,29,19,1,1,1000001616,29
669,16/12/2024,05/01/2025,4,30,63,0,0,"",30
670,05/06/2024,22/06/2024,2,31,104,0,0,"",31
671,13/11/2024,02/12/2024,3,32,112,1,1,1000001619,32
672,06/05/2024,25/05/2024,2,33,165,1,1,1000001620,33
673,04/06/2024,23/06/2024,4,34,147,0,0,"",34
674,21/08/2024,03/09/2024,4,35,212,0,0,"",35
675,06/07/2024,18/07/2024,3,36,242,0,0,"",36
676,09/06/2024,23/06/2024,2,37,270,0,0,"",37
677,26/10/2024,07/11/2024,3,38,284,1,1,1000001625,38
678,19/01/2024,06/02/2024,1,39,103,1,1,1000001626,39
679,11/10/2024,17/10/2024,4,40,158,1,1,1000001627,40
680,03/10/2024,07/10/2024,1,41,189,0,0,"",41
681,11/01/2024,22/01/2024,4,42,165,1,1,1000001629,42
682,19/07/2024,04/08/2024,4,43,128,1,1,1000001630,43
683,14/08/2024,21/08/2024,4,44,194,1,1,1000001631,44
684,21/04/2024,11/05/2024,2,45,138,0,0,"",45
685,18/07/2024,25/07/2024,2,46,294,1,1,1000001633,46
686,14/07/2024,03/08/2024,1,47,142,1,1,1000001634,47
687,05/05/2024,13/05/2024,3,48,132,0,0,"",48
688,02/11/2024,07/11/2024,1,49,244,0,0,"",49
689,15/12/2024,19/12/2024,3,50,262,0,0,"",50
690,10/01/2024,19/01/2024,1,51,271,0,0,"",51
691,14/12/2024,03/01/2025,1,52,253,1,1,1000001639,52
692,12/02/2024,03/03/2024,3,53,60,1,1,1000001640,53
693,16/07/2024,28/07/2024,4,54,280,1,1,1000001641,54
694,10/01/2024,15/01/2024,2,55,131,0,0,"",55
695,17/08/2024,29/08/2024,2,56,97,1,1,1000001643,56
696,28/10/2024,07/11/2024,2,57,154,1,1,1000001644,57
697,14/09/2024,22/09/2024,1,58,206,0,0,"",58
698,17/03/2024,06/04/2024,1,59,245,0,0,"",59
699,09/08/2024,23/08/2024,2,60,45,1,1,1000001647,60
700,12/03/2024,28/03/2024,3,61,84,1,1,1000001648,61
701,06/11/2024,10/11/2024,1,62,300,0,0,"",62
702,12/10/2024,27/10/2024,2,63,83,1,1,1000001650,63
703,03/02/2024,07/02/2024,3,64,51,1,1,1000001651,64
704,19/03/2024,24/03/2024,3,65,58,1,1,1000001652,65
705,18/08/2024,26/08/2024,4,66,279,1,1,1000001653,66
706,08/03/2024,24/03/2024,3,67,287,0,0,"",67
707,12/07/2024,21/07/2024,1,68,100,1,1,1000001655,68
708,19/08/2024,22/08/2024,2,69,19,0,0,"",69
709,02/11/2024,21/11/2024,4,70,71,0,0,"",70
710,19/07/2024,29/07/2024,4,71,171,0,0,"",71
711,29/04/2024,04/05/2024,4,72,151,1,1,1000001659,72
712,19/04/2024,04/05/2024,4,73,287,0,0,"",73
713,17/09/2024,05/10/2024,1,74,291,0,0,"",74
714,25/06/2024,08/07/2024,2,75,174,0,0,"",75
715,20/02/2024,07/03/2024,1,76,240,0,0,"",76
716,08/12/2024,12/12/2024,1,77,220,0,0,"",77
717,04/09/2024,22/09/2024,2,78,127,1,1,1000001665,78
718,23/12/2024,06/01/2025,1,79,2,1,1,1000001666,79
719,13/05/2024,19/05/2024,2,80,23,1,1,1000001667,80
720,18/12/2024,26/12/2024,3,81,175,0,0,"",81
721,12/01/2024,15/01/2024,3,82,165,1,1,1000001669,82
722,06/05/2024,12/05/2024,2,83,34,0,0,"",83
723,30/01/2024,18/02/2024,4,84,180,1,1,1000001671,84
724,13/12/2024,17/12/2024,2,85,231,1,1,1000001672,85
725,19/08/2024,01/09/2024,2,86,183,0,0,"",86
726,03/06/2024,15/06/2024,3,87,124,0,0,"",87
727,20/11/2024,04/12/2024,3,88,120,0,0,"",88
728,04/10/2024,14/10/2024,3,89,274,0,0,"",89
729,12/12/2024,01/01/2025,1,90,286,0,0,"",90
730,30/09/2024,14/10/2024,4,91,64,1,1,1000001678,91
731,19/02/2024,07/03/2024,2,92,153,0,0,"",92
732,06/05/2024,15/05/2024,3,93,281,0,0,"",93
733,25/07/2024,30/07/2024,4,94,78,1,1,1000001681,94
734,17/10/2024,26/10/2024,2,95,73,0,0,"",95
735,18/01/2024,01/02/2024,3,96,4,1,1,1000001683,96
736,20/02/2024,07/03/2024,1,97,99,1,1,1000001684,97
737,04/05/2024,08/05/2024,4,98,63,0,0,"",98
738,25/02/2024,12/03/2024,1,99,51,1,1,1000001686,99
739,04/02/2024,22/02/2024,1,100,57,0,0,"",100
740,16/02/2024,22/02/2024,3,101,91,0,0,"",101
741,09/10/2024,14/10/2024,4,102,133,0,0,"",102
742,24/06/2024,28/06/2024,3,103,117,1,1,1000001690,103
743,11/09/2024,30/09/2024,4,104,195,0,0,"",104
744,23/03/2024,09/04/2024,1,105,279,1,1,1000001692,105
745,04/02/2024,24/02/2024,4,106,16,1,1,1000001693,106
746,03/12/2024,06/12/2024,1,107,87,0,0,"",107
747,21/03/2024,30/03/2024,4,108,287,1,1,1000001695,108
748,09/12/2024,24/12/2024,3,109,22,1,1,1000001696,109
749,28/02/2024,17/03/2024,2,110,187,1,1,1000001697,110
750,21/08/2024,27/08/2024,4,111,211,0,0,"",111
751,04/05/2024,08/05/2024,2,112,270,0,0,"",112
752,29/09/2024,05/10/2024,3,113,274,0,0,"",113
753,16/06/2024,30/06/2024,2,114,15,0,0,"",114
754,03/02/2024,22/02/2024,1,115,257,0,0,"",115
755,10/04/2024,30/04/2024,4,116,68,1,1,1000001703,116
756,07/04/2024,13/04/2024,1,117,36,0,0,"",117
757,12/11/2024,28/11/2024,2,118,247,1,1,1000001705,118
758,05/05/2024,18/05/2024,4,119,68,0,0,"",119
759,24/05/2024,10/06/2024,2,120,122,0,0,"",120
760,05/07/2024,09/07/2024,2,121,134,1,1,1000001708,121
761,09/09/2024,22/09/2024,2,122,266,1,1,1000001709,122
762,09/01/2024,13/01/2024,2,123,14,1,1,1000001710,123
763,24/08/2024,27/08/2024,4,124,179,1,1,1000001711,124
764,13/01/2024,22/01/2024,2,125,233,0,0,"",125
765,03/04/2024,08/04/2024,2,126,143,0,0,"",126
