IDHORARIO,DURACION,IDSERVICIO,FECHAINICIO,DIA,HORAINICIO,HORAFIN,FECHAFIN
36,,4,06/08/2017,,17,17,06/08/2017
37,,14,19/02/2017,,23,12,20/02/2017
38,,18,20/04/2017,,8,24,21/04/2017
39,,12,22/10/2017,,8,20,22/10/2017
40,,17,21/12/2017,,12,22,22/12/2017
41,,17,29/05/2017,,15,24,29/05/2017
42,,4,15/12/2017,,15,22,15/12/2017
43,,8,08/05/2017,,4,24,08/05/2017
44,,15,13/02/2017,,9,7,13/02/2017
45,,5,16/08/2017,,21,16,17/08/2017
46,,12,23/03/2017,,11,21,23/03/2017
47,,17,18/01/2017,,1,16,18/01/2017
48,,12,02/05/2017,,12,21,03/05/2017
49,,22,20/07/2017,,1,21,21/07/2017
50,,22,05/05/2017,,21,14,06/05/2017
51,,22,17/12/2017,,16,24,17/12/2017
52,,18,03/03/2017,,19,11,03/03/2017
53,,22,23/02/2017,,17,23,24/02/2017
54,,17,18/08/2017,,21,11,18/08/2017
55,,22,27/11/2017,,6,8,28/11/2017
56,,11,16/04/2017,,10,13,17/04/2017
57,,13,04/02/2017,,19,23,04/02/2017
58,,15,08/07/2017,,18,18,08/07/2017
59,,15,04/07/2017,,23,18,05/07/2017
60,,11,05/10/2017,,14,5,06/10/2017
61,,13,13/08/2017,,11,24,13/08/2017
62,,13,01/12/2017,,11,23,01/12/2017
63,,8,19/05/2017,,17,5,19/05/2017
64,,8,18/07/2017,,12,21,18/07/2017
65,,14,07/09/2017,,16,17,07/09/2017
66,,17,28/03/2017,,13,21,29/03/2017
67,,18,30/12/2017,,2,13,31/12/2017
68,,12,17/10/2017,,0,24,18/10/2017
69,,13,04/07/2017,,9,22,05/07/2017
70,,4,21/01/2017,,2,13,21/01/2017
71,,12,10/04/2017,,11,22,10/04/2017
72,,4,06/06/2017,,23,20,06/06/2017
73,,5,05/07/2017,,12,22,06/07/2017
74,,12,12/03/2017,,2,11,12/03/2017
75,,22,22/02/2017,,7,17,23/02/2017
76,,22,01/04/2017,,23,24,02/04/2017
77,,8,12/04/2017,,18,12,12/04/2017
78,,5,30/08/2017,,1,23,31/08/2017
79,,22,03/08/2017,,16,23,03/08/2017
80,,18,14/08/2017,,21,6,14/08/2017
81,,11,14/07/2017,,18,7,14/07/2017
82,,11,25/09/2017,,11,20,26/09/2017
83,,13,16/05/2017,,17,24,17/05/2017
84,,22,20/11/2017,,6,24,21/11/2017
85,,13,25/12/2017,,6,14,26/12/2017
86,,5,23/06/2017,,23,16,24/06/2017
87,,22,22/12/2017,,8,17,23/12/2017
88,,8,17/10/2017,,7,17,17/10/2017
89,,18,29/08/2017,,18,12,29/08/2017
90,,14,30/09/2017,,17,22,30/09/2017
91,,20,13/06/2017,,9,16,13/06/2017
92,,17,12/09/2017,,17,21,12/09/2017
93,,18,27/11/2017,,4,14,28/11/2017
94,,13,20/06/2017,,22,13,21/06/2017
95,,17,29/06/2017,,22,22,30/06/2017
96,,11,24/01/2017,,19,16,24/01/2017
97,,4,05/10/2017,,0,14,05/10/2017
98,,4,02/08/2017,,6,21,02/08/2017
99,,5,30/12/2017,,23,24,31/12/2017
100,,4,28/01/2017,,23,9,29/01/2017
101,,13,01/01/2018,,23,24,02/01/2018
102,,17,28/03/2017,,11,15,29/03/2017
103,,14,19/09/2017,,11,22,20/09/2017
104,,4,22/01/2017,,16,24,23/01/2017
105,,22,21/08/2017,,8,10,21/08/2017
106,,13,20/12/2017,,20,17,21/12/2017
107,,14,07/06/2017,,4,15,07/06/2017
108,,20,29/04/2017,,5,22,30/04/2017
109,,4,05/12/2017,,11,9,05/12/2017
110,,20,13/03/2017,,9,24,14/03/2017
111,,12,12/03/2017,,7,23,12/03/2017
112,,20,21/08/2017,,8,17,22/08/2017
113,,5,16/05/2017,,12,16,16/05/2017
114,,15,21/03/2017,,3,8,21/03/2017
115,,5,29/05/2017,,21,19,30/05/2017
116,,5,07/11/2017,,18,24,07/11/2017
117,,15,27/12/2017,,4,21,27/12/2017
118,,13,13/10/2017,,19,4,14/10/2017
119,,5,21/08/2017,,20,18,22/08/2017
120,,22,14/03/2017,,12,16,15/03/2017
121,,15,13/03/2017,,10,7,13/03/2017
122,,22,25/02/2017,,0,14,25/02/2017
123,,5,23/03/2017,,13,21,23/03/2017
124,,18,09/05/2017,,20,16,09/05/2017
125,,15,26/06/2017,,19,7,27/06/2017
126,,18,14/08/2017,,1,21,14/08/2017
127,,13,06/05/2017,,16,22,07/05/2017
128,,14,06/04/2017,,11,24,06/04/2017
129,,18,09/11/2017,,10,14,10/11/2017
130,,20,09/12/2017,,1,23,10/12/2017
131,,12,22/05/2017,,8,21,22/05/2017
132,,4,29/09/2017,,7,20,29/09/2017
133,,4,14/06/2017,,17,23,15/06/2017
134,,20,02/09/2017,,16,22,02/09/2017
135,,15,18/11/2017,,4,8,19/11/2017
136,,22,18/07/2017,,9,21,19/07/2017
137,,12,27/10/2017,,17,17,27/10/2017
138,,14,03/10/2017,,1,24,04/10/2017
139,,12,16/05/2017,,22,20,17/05/2017
140,,4,03/11/2017,,15,11,04/11/2017
141,,17,11/11/2017,,10,15,11/11/2017
142,,20,17/11/2017,,20,23,17/11/2017
143,,22,24/12/2017,,23,2,25/12/2017
144,,13,02/08/2017,,2,23,03/08/2017
145,,5,27/10/2017,,23,24,27/10/2017
146,,20,28/09/2017,,15,11,28/09/2017
147,,20,18/03/2017,,15,21,18/03/2017
148,,5,22/12/2017,,19,18,22/12/2017
149,,18,25/01/2017,,7,22,25/01/2017
150,,12,13/08/2017,,18,20,14/08/2017
151,,8,16/09/2017,,10,14,17/09/2017
152,,4,09/12/2017,,7,15,10/12/2017
153,,22,06/09/2017,,6,2,07/09/2017
154,,11,17/07/2017,,21,13,18/07/2017
155,,13,26/12/2017,,16,17,26/12/2017
156,,14,04/03/2017,,20,19,04/03/2017
157,,12,18/10/2017,,4,22,19/10/2017
158,,13,15/08/2017,,0,24,16/08/2017
159,,13,25/10/2017,,18,23,25/10/2017
160,,12,08/11/2017,,3,14,08/11/2017
161,,14,31/08/2017,,14,23,01/09/2017
162,,17,05/08/2017,,14,23,06/08/2017
163,,4,27/07/2017,,1,14,28/07/2017
164,,20,24/10/2017,,5,21,25/10/2017
165,,22,22/05/2017,,6,11,23/05/2017
166,,18,12/12/2017,,16,8,13/12/2017
167,,20,07/03/2017,,8,22,08/03/2017
168,,11,08/09/2017,,23,18,08/09/2017
169,,22,14/03/2017,,8,9,15/03/2017
170,,18,29/05/2017,,8,18,30/05/2017
171,,12,11/11/2017,,16,12,11/11/2017
172,,4,25/06/2017,,23,14,26/06/2017
173,,12,11/05/2017,,6,21,12/05/2017
174,,12,15/08/2017,,23,22,16/08/2017
175,,20,14/05/2017,,10,16,15/05/2017
176,,20,22/11/2017,,15,21,22/11/2017
177,,13,01/06/2017,,2,10,02/06/2017
178,,15,16/04/2017,,4,13,17/04/2017
179,,18,02/12/2017,,9,24,03/12/2017
180,,5,20/10/2017,,16,24,21/10/2017
181,,20,08/11/2017,,20,5,08/11/2017
182,,20,30/07/2017,,22,13,30/07/2017
183,,15,17/08/2017,,9,11,18/08/2017
184,,13,25/10/2017,,16,23,25/10/2017
185,,22,20/07/2017,,10,1,21/07/2017
186,,14,30/04/2017,,8,12,01/05/2017
