IDESTADIA,FECHALLEGADA,FECHASALIDA,NUMEROPERSONAS,IDPLAN,IDHABITACION,CHECKIN,PAGADO,IDCLIENTE,IDCONVENCION
1049,24/02/2019,03/03/2019,2,201,202,1,1,1000000000,
1050,04/10/2019,15/10/2019,2,291,230,0,0,1000000001,
1051,14/04/2019,21/04/2019,2,218,219,0,0,1000000002,
1052,20/11/2019,02/12/2019,2,227,31,1,1,1000000003,
1053,15/12/2019,24/12/2019,2,254,136,0,0,1000000004,
1054,27/12/2019,03/01/2020,2,287,147,0,0,1000000005,
1055,01/07/2019,15/07/2019,2,288,136,0,0,1000000006,
1056,09/03/2019,17/03/2019,2,281,165,0,0,1000000007,
1057,20/05/2019,22/05/2019,2,257,158,1,1,1000000008,
1058,05/11/2019,06/11/2019,2,293,124,1,1,1000000009,
1059,06/01/2019,18/01/2019,2,282,99,0,0,1000000010,
1060,22/02/2019,03/03/2019,2,233,135,1,1,1000000011,
1061,18/10/2019,21/10/2019,2,208,147,1,1,1000000012,
1062,31/03/2019,09/04/2019,2,237,234,0,0,1000000013,
1063,02/01/2019,05/01/2019,2,253,201,1,1,1000000014,
1064,26/04/2019,08/05/2019,2,249,80,0,0,1000000015,
1065,24/07/2019,02/08/2019,2,281,178,1,1,1000000016,
1066,05/04/2019,08/04/2019,2,217,282,0,0,1000000017,
1067,12/12/2019,23/12/2019,2,291,60,0,0,1000000018,
1068,09/08/2019,20/08/2019,2,243,293,1,1,1000000019,
1069,07/06/2019,16/06/2019,2,207,222,0,0,1000000020,
1070,23/04/2019,30/04/2019,2,282,21,1,1,1000000021,
1071,04/07/2019,11/07/2019,2,211,239,1,1,1000000022,
1072,10/08/2019,19/08/2019,2,264,74,1,1,1000000023,
1073,17/01/2019,01/02/2019,2,220,112,0,0,1000000024,
1074,10/04/2019,19/04/2019,2,269,197,0,0,1000000025,
1075,04/11/2019,12/11/2019,2,297,148,1,1,1000000026,
1076,21/07/2019,31/07/2019,2,203,87,1,1,1000000027,
1077,26/10/2019,07/11/2019,2,260,294,0,0,1000000028,
1078,14/03/2019,27/03/2019,2,257,287,0,0,1000000029,
1079,16/05/2019,27/05/2019,2,279,257,0,0,1000000030,
1080,28/11/2019,09/12/2019,2,248,294,0,0,1000000031,
1081,23/11/2019,24/11/2019,2,216,120,1,1,1000000032,
1082,08/08/2019,21/08/2019,2,289,221,0,0,1000000033,
1083,03/04/2019,09/04/2019,2,235,179,0,0,1000000034,
1084,24/10/2019,01/11/2019,2,266,135,1,1,1000000035,
1085,08/02/2019,19/02/2019,2,282,67,0,0,1000000036,
1086,17/01/2019,21/01/2019,2,258,230,0,0,1000000037,
1087,21/07/2019,31/07/2019,2,262,237,0,0,1000000038,
1088,09/12/2019,15/12/2019,2,246,119,1,1,1000000039,
1089,08/01/2019,22/01/2019,2,239,254,1,1,1000000040,
1090,13/06/2019,19/06/2019,2,252,10,1,1,1000000041,
1091,28/09/2019,06/10/2019,2,268,129,0,0,1000000042,
1092,28/10/2019,01/11/2019,2,218,230,1,1,1000000043,
1093,17/11/2019,19/11/2019,2,234,28,0,0,1000000044,
1094,11/12/2019,18/12/2019,2,271,132,1,1,1000000045,
1095,02/04/2019,03/04/2019,2,293,112,0,0,1000000046,
1096,14/10/2019,25/10/2019,2,273,203,1,1,1000000047,
1097,21/11/2019,03/12/2019,2,212,273,0,0,1000000048,
1098,07/04/2019,22/04/2019,2,233,101,0,0,1000000049,
1099,21/11/2019,05/12/2019,2,268,185,0,0,1000000050,
1100,12/04/2019,16/04/2019,2,256,229,0,0,1000000051,
1101,02/07/2019,05/07/2019,2,212,275,0,0,1000000052,
1102,30/07/2019,02/08/2019,2,208,42,0,0,1000000053,
1103,25/09/2019,05/10/2019,2,207,295,1,1,1000000054,
1104,29/08/2019,13/09/2019,2,300,5,0,0,1000000055,
1105,16/01/2019,18/01/2019,2,258,198,1,1,1000000056,
1106,04/09/2019,11/09/2019,2,269,242,0,0,1000000057,
1107,16/05/2019,31/05/2019,2,253,242,1,1,1000000058,
1108,31/08/2019,13/09/2019,2,260,96,0,0,1000000059,
1109,28/06/2019,10/07/2019,2,262,113,0,0,1000000060,
1110,11/09/2019,24/09/2019,2,261,17,1,1,1000000061,
1111,24/06/2019,06/07/2019,2,246,198,0,0,1000000062,
1112,12/11/2019,23/11/2019,2,275,68,1,1,1000000063,
1113,21/06/2019,22/06/2019,2,277,290,1,1,1000000064,
1114,05/08/2019,09/08/2019,2,232,136,0,0,1000000065,
1115,17/09/2019,26/09/2019,2,287,238,1,1,1000000066,
1116,04/09/2019,08/09/2019,2,255,170,1,1,1000000067,
1117,03/11/2019,16/11/2019,2,218,26,0,0,1000000068,
1118,31/10/2019,13/11/2019,2,261,11,0,0,1000000069,
1119,14/06/2019,23/06/2019,2,236,284,1,1,1000000070,
1120,20/09/2019,28/09/2019,2,236,80,0,0,1000000071,
1121,20/12/2019,04/01/2020,2,231,280,0,0,1000000072,
1122,04/11/2019,12/11/2019,2,225,237,1,1,1000000073,
1123,26/07/2019,30/07/2019,2,269,90,0,0,1000000074,
1124,09/09/2019,14/09/2019,2,270,107,1,1,1000000075,
1125,21/02/2019,23/02/2019,2,228,160,1,1,1000000076,
1126,17/12/2019,18/12/2019,2,225,174,1,1,1000000077,
1127,23/11/2019,28/11/2019,2,259,269,1,1,1000000078,
1128,13/06/2019,22/06/2019,2,266,207,0,0,1000000079,
1129,26/12/2019,01/01/2020,2,299,282,0,0,1000000080,
1130,19/02/2019,28/02/2019,2,296,229,0,0,1000000081,
1131,09/03/2019,14/03/2019,2,208,191,1,1,1000000082,
1132,18/11/2019,26/11/2019,2,271,276,0,0,1000000083,
